#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
2.0,2,2.90773
2.0,2,2.91078
1.0,1,2.911781
1.0,1,2.916262
2.0,2,2.91984
4.0,4,2.929669
3.0,3,2.935002
1.0,1,2.938003
1.0,1,2.939042
1.0,1,2.940067
1.0,1,2.941071
1.0,1,2.942055
3.0,3,2.949395
2.0,2,2.952616
1.0,1,2.957146
1.0,1,2.958223
1.0,1,2.959305
1.0,1,2.96041
3.0,3,2.967866
1.0,1,2.968927
3.0,3,2.976214
1.0,1,2.977293
3.0,3,2.982746
2.0,2,2.988224
1.0,1,2.989252
1.0,1,2.990254
3.0,3,2.997611
2.0,2,3.000798
1.0,1,3.001844
1.0,1,3.004953
5.0,5,3.016459
1.0,1,3.017691
1.0,1,3.018724
2.0,2,3.023962
4.0,4,3.034616
5.0,5,3.047028
3.0,3,3.054687
3.0,3,3.060301
1.0,1,3.063476
3.0,3,3.069042
1.0,1,3.070109
1.0,1,3.073301
2.0,2,3.076736
1.0,1,3.077799
3.0,3,3.086567
1.0,1,3.087638
2.0,2,3.090987
3.0,3,3.098924
1.0,1,3.100045
2.0,2,3.105562
3.0,3,3.11115
1.0,1,3.112204
1.0,1,3.115432
3.0,3,3.120932
1.0,1,3.12203
1.0,1,3.125374
2.0,2,3.130508
3.0,3,3.138489
1.0,1,3.139653
1.0,1,3.140728
6.0,6,3.156352
1.0,1,3.157522
1.0,1,3.160972
4.0,4,3.168847
1.0,1,3.172178
1.0,1,3.173334
2.0,2,3.176787
1.0,1,3.17785
1.0,1,3.181508
4.0,4,3.189523
1.0,1,3.193245
2.0,2,3.19672
6.0,6,3.212161
1.0,1,3.213273
1.0,1,3.217128
4.0,4,3.22552
1.0,1,3.229262
1.0,1,3.230379
2.0,2,3.23568
3.0,3,3.244524
1.0,1,3.245663
1.0,1,3.246712
3.0,3,3.255053
2.0,2,3.258299
2.0,2,3.264065
3.0,3,3.269797
3.0,3,3.278464
1.0,1,3.279551
1.0,1,3.280569
1.0,1,3.281634
1.0,1,3.285345
1.0,1,3.286501
2.0,2,3.289857
1.0,1,3.290944
1.0,1,3.294455
1.0,1,3.295571
1.0,1,3.296635
2.0,2,3.299958
4.0,4,3.310209
4.0,4,3.320277
1.0,1,3.321359
1.0,1,3.322393
2.0,2,3.330349
1.0,1,3.331416
4.0,4,3.343743
1.0,1,3.344828
6.0,6,3.359599
1.0,1,3.360718
1.0,1,3.363887
1.0,1,3.365027
1.0,1,3.366161
1.0,1,3.367297
1.0,1,3.368449
1.0,1,3.371829
1.0,1,3.372863
2.0,2,3.376416
1.0,1,3.37752
1.0,1,3.380631
4.0,4,3.388737
1.0,1,3.392894
4.0,4,3.400964
2.0,2,3.408963
1.0,1,3.410075
1.0,1,3.411132
1.0,1,3.412168
1.0,1,3.415382
1.0,1,3.41644
3.0,3,3.422319
1.0,1,3.426266
4.0,4,3.434186
1.0,1,3.438241
3.0,3,3.44424
3.0,3,3.454797
2.0,2,3.458189
1.0,1,3.459422
1.0,1,3.463153
1.0,1,3.464232
1.0,1,3.465293
1.0,1,3.466381
3.0,3,3.474545
1.0,1,3.475584
2.0,2,3.479381
2.0,2,3.488445
1.0,1,3.489557
1.0,1,3.490721
1.0,1,3.492024
3.0,3,3.502082
2.0,2,3.505931
2.0,2,3.513312
1.0,1,3.514378
1.0,1,3.515416
1.0,1,3.516486
1.0,1,3.52009
2.0,2,3.524013
1.0,1,3.525168
2.0,2,3.531788
3.0,3,3.538112
1.0,1,3.539218
1.0,1,3.54292
1.0,1,3.544298
1.0,1,3.545353
1.0,1,3.546372
1.0,1,3.547377
1.0,1,3.55336
2.0,2,3.556751
2.0,2,3.559863
1.0,1,3.564047
1.0,1,3.565231
1.0,1,3.56635
4.0,4,3.577789
4.0,4,3.588576
2.0,2,3.591971
4.0,4,3.603043
2.0,2,3.606353
6.0,6,3.621528
1.0,1,3.624837
3.0,3,3.630597
1.0,1,3.631654
3.0,3,3.640025
2.0,2,3.643603
1.0,1,3.646856
4.0,4,3.654799
1.0,1,3.659862
1.0,1,3.661029
1.0,1,3.662087
1.0,1,3.66309
3.0,3,3.671037
2.0,2,3.674218
3.0,3,3.681997
1.0,1,3.683028
2.0,2,3.686449
2.0,2,3.691865
1.0,1,3.692921
1.0,1,3.694032
1.0,1,3.695096
2.0,2,3.700598
1.0,1,3.701676
1.0,1,3.702877
2.0,2,3.708514
1.0,1,3.709609
1.0,1,3.710695
1.0,1,3.711737
1.0,1,3.712775
1.0,1,3.716167
1.0,1,3.717279
2.0,2,3.720423
4.0,4,3.730352
2.0,2,3.733527
2.0,2,3.738724
1.0,1,3.739792
2.0,2,3.743257
2.0,2,3.748643
1.0,1,3.749706
2.0,2,3.753049
1.0,1,3.756136
2.0,2,3.7595
10.0,10,3.787137
1.0,1,3.788179
1.0,1,3.789214
2.0,2,3.794759
1.0,1,3.795769
1.0,1,3.796777
1.0,1,3.797779
3.0,3,3.805512
1.0,1,3.806534
2.0,2,3.811844
1.0,1,3.81289
1.0,1,3.813925
1.0,1,3.814962
4.0,4,3.829281
2.0,2,3.832427
1.0,1,3.835552
3.0,3,3.840955
3.0,3,3.848283
1.0,1,3.849319
2.0,2,3.852592
1.0,1,3.855606
1.0,1,3.856663
1.0,1,3.857717
1.0,1,3.858924
5.0,5,3.872469
1.0,1,3.873487
2.0,2,3.879213
1.0,1,3.880222
2.0,2,3.883398
1.0,1,3.886728
3.0,3,3.892224
1.0,1,3.893272
4.0,4,3.902924
2.0,2,3.909143
1.0,1,3.91021
2.0,2,3.913458
1.0,1,3.914461
1.0,1,3.918635
6.0,6,3.932647
1.0,1,3.933753
2.0,2,3.936992
1.0,1,3.94013
2.0,2,3.943463
2.0,2,3.94663
2.0,2,3.952356
2.0,2,3.955554
3.0,3,3.963028
1.0,1,3.96407
1.0,1,3.965101
2.0,2,3.970381
4.0,4,3.979659
1.0,1,3.98316
1.0,1,3.984421
1.0,1,3.985528
2.0,2,3.988844
1.0,1,3.992804
1.0,1,3.993926
1.0,1,3.994969
3.0,3,4.002568
2.0,2,4.00583
3.0,3,4.013254
2.0,2,4.016544
3.0,3,4.023999
4.0,4,4.031661
1.0,1,4.03491
1.0,1,4.036153
1.0,1,4.037182
4.0,4,4.046803
2.0,2,4.049993
1.0,1,4.051055
1.0,1,4.054111
1.0,1,4.055152
2.0,2,4.058585
1.0,1,4.059664
1.0,1,4.062819
2.0,2,4.066077
1.0,1,4.067184
1.0,1,4.068207
3.0,3,4.076757
5.0,5,4.09062
1.0,1,4.091633
2.0,2,4.098181
1.0,1,4.099407
2.0,2,4.102954
1.0,1,4.103993
1.0,1,4.107352
2.0,2,4.110662
1.0,1,4.111684
1.0,1,4.112687
1.0,1,4.116101
