{'alpha': 3.609079957008362, 'proportion_of_honest': 0.5500000000000003, 'rounds': 44, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.325550138950348, 'proportion_of_honest': 0.5500000000000003, 'rounds': 45, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.2877412140369415, 'proportion_of_honest': 0.5200000000000002, 'rounds': 46, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.787064105272293, 'proportion_of_honest': 0.47000000000000025, 'rounds': 47, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.232227951288223, 'proportion_of_honest': 0.3300000000000001, 'rounds': 48, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.444554790854454, 'proportion_of_honest': 0.2800000000000001, 'rounds': 49, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.046058818697929, 'proportion_of_honest': 0.3300000000000001, 'rounds': 50, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.046058818697929, 'proportion_of_honest': 0.36000000000000015, 'rounds': 51, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.5183538645505905, 'proportion_of_honest': 0.3900000000000002, 'rounds': 52, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.5183538645505905, 'proportion_of_honest': 0.4200000000000002, 'rounds': 53, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.780961319804192, 'proportion_of_honest': 0.48000000000000026, 'rounds': 54, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.780961319804192, 'proportion_of_honest': 0.45000000000000023, 'rounds': 55, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.7809613198041916, 'proportion_of_honest': 0.5500000000000003, 'rounds': 56, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.7809613198041916, 'proportion_of_honest': 0.6000000000000003, 'rounds': 57, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 1.8669720143079758, 'proportion_of_honest': 0.6000000000000003, 'rounds': 58, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.7989744395017624, 'proportion_of_honest': 0.6500000000000004, 'rounds': 59, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.4514610916376114, 'proportion_of_honest': 0.6800000000000004, 'rounds': 60, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.4514610916376114, 'proportion_of_honest': 0.6800000000000004, 'rounds': 61, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.4660221487283707, 'proportion_of_honest': 0.6500000000000004, 'rounds': 62, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.167166694998741, 'proportion_of_honest': 0.6200000000000003, 'rounds': 63, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.416522189974785, 'proportion_of_honest': 0.6600000000000004, 'rounds': 64, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.1581461876630783, 'proportion_of_honest': 0.7300000000000004, 'rounds': 65, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.158146187663078, 'proportion_of_honest': 0.6600000000000004, 'rounds': 66, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.229160912334919, 'proportion_of_honest': 0.6800000000000004, 'rounds': 67, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.771514005959034, 'proportion_of_honest': 0.6800000000000004, 'rounds': 68, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.3664147928357124, 'proportion_of_honest': 0.5700000000000003, 'rounds': 69, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.593363292515278, 'proportion_of_honest': 0.6300000000000003, 'rounds': 70, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.7581073865294456, 'proportion_of_honest': 0.6400000000000003, 'rounds': 71, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.6121156737208366, 'proportion_of_honest': 0.5700000000000003, 'rounds': 72, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.612115673720837, 'proportion_of_honest': 0.5800000000000003, 'rounds': 73, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.612115673720837, 'proportion_of_honest': 0.6400000000000003, 'rounds': 74, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.387132398784161, 'proportion_of_honest': 0.6300000000000003, 'rounds': 75, 'initial_honest_proportion': 0.46000000000000024}
